framecount,velocity,heading,gain_v,gain_h,cumulative tail angle,pt_0,pt_1,pt_2,pt_3,pt_4,pt_5
515,7.682163812044084e-13,6.718903940254811,1.0,1.0,2.070246164444818,[  0 276],[ 45 297],[ 94 304],[138 326],[180 351],[223 374]
516,6.98378528367644e-13,6.727480963703976,1.0,1.0,2.0375263863666913,[  0 276],[ 45 297],[ 93 310],[140 326],[183 351],[227 374]
517,6.348895712433127e-13,6.729820686067557,1.0,1.0,1.9353274574746078,[  0 276],[ 45 297],[ 94 304],[141 320],[180 350],[226 368]
518,5.771723374939206e-13,6.724419507621618,1.0,1.0,1.9149350584216227,[  0 276],[ 45 297],[ 94 304],[141 320],[184 345],[228 368]
519,5.247021249944733e-13,6.712338059290844,1.0,1.0,1.9149350584216227,[  0 276],[ 45 297],[ 94 304],[141 320],[184 345],[228 368]
520,4.770019318131575e-13,6.694340820073899,1.0,1.0,1.9149350584216227,[  0 276],[ 45 297],[ 94 304],[141 320],[184 345],[228 368]
521,4.3363811983014317e-13,6.670954987106778,1.0,1.0,1.9269674406056534,[  0 276],[ 42 302],[ 91 303],[139 313],[178 343],[221 366]
522,3.942164725728574e-13,6.64283451048746,1.0,1.0,1.8324843416733578,[  0 276],[ 45 297],[ 94 304],[142 315],[181 345],[227 363]
523,3.5837861142987036e-13,6.610023315157806,1.0,1.0,1.7872688176986573,[  0 276],[ 45 297],[ 94 304],[141 320],[184 345],[230 362]
524,3.257987376635185e-13,6.572929770791127,1.0,1.0,1.7872688176986573,[  0 276],[ 45 297],[ 94 304],[141 320],[184 345],[230 362]
525,2.9618067060319864e-13,6.53211419900479,1.0,1.0,1.7827483682093501,[  0 276],[ 45 297],[ 93 310],[140 326],[185 345],[231 362]
526,2.692551550938169e-13,6.4876823062753655,1.0,1.0,1.8067735006395327,[  0 276],[ 45 297],[ 93 310],[140 326],[179 356],[228 362]
527,2.447774137216517e-13,6.440461739708212,1.0,1.0,1.8354932843319305,[  0 276],[ 45 297],[ 91 316],[139 327],[181 352],[229 364]
528,2.2252492156513792e-13,6.392728044422151,1.0,1.0,1.9635023430051273,[  0 276],[ 45 297],[ 91 316],[139 327],[181 352],[227 370]
529,2.0229538324103448e-13,6.346501757880136,1.0,1.0,1.94665255723049,[  0 276],[ 45 297],[ 93 310],[137 332],[179 357],[227 369]
530,1.8390489385548588e-13,6.301120793726132,1.0,1.0,2.0579187854196768,[  0 276],[ 45 297],[ 93 310],[140 326],[179 356],[225 374]
531,1.6718626714135079e-13,6.2580928608329796,1.0,1.0,2.07415107922907,[  0 276],[ 45 297],[ 93 310],[137 332],[182 352],[225 375]
532,1.5198751558304618e-13,6.217346162301437,1.0,1.0,2.07415107922907,[  0 276],[ 45 297],[ 93 310],[137 332],[182 352],[225 375]
533,1.3817046871186015e-13,6.18038294351842,1.0,1.0,2.0495844336531985,[  0 276],[ 45 297],[ 94 304],[132 336],[179 350],[223 373]
534,1.2560951701078196e-13,6.146944445269583,1.0,1.0,2.0972734459456825,[  0 276],[ 45 297],[ 93 310],[142 315],[177 350],[220 374]
