framecount,velocity,heading,gain_v,gain_h,cumulative tail angle,pt_0,pt_1,pt_2,pt_3,pt_4,pt_5
656,0.014658144691144978,-0.9203460978355623,1.0,1.0,-0.44197670721815474,[  0 276],[ 47 291],[ 96 286],[139 261],[188 268],[236 255]
657,0.01332558608285907,-0.9488944813154494,1.0,1.0,-0.43914562426055603,[  0 276],[ 47 291],[ 91 269],[140 261],[189 268],[237 255]
658,0.01211416916623552,-0.977334921781864,1.0,1.0,-0.5663571811487476,[  0 276],[ 47 291],[ 91 269],[140 261],[189 268],[235 249]
659,0.011012881060214108,-1.008673539587639,1.0,1.0,-0.5663571811487476,[  0 276],[ 47 291],[ 91 269],[140 261],[189 268],[235 249]
660,0.010011710054740098,-1.0412647379022215,1.0,1.0,-0.6911601512425772,[  0 276],[ 47 291],[ 89 263],[138 261],[187 262],[233 243]
661,0.00910155459521827,-1.0761274225941004,1.0,1.0,-0.6934274390902111,[  0 276],[ 49 285],[ 96 268],[145 260],[194 255],[242 242]
662,0.008274140541107517,-1.1125665500833615,1.0,1.0,-0.7699485810764353,[  0 276],[ 49 285],[ 93 262],[142 253],[191 259],[237 239]
663,0.007521945946461379,-1.1522870678250314,1.0,1.0,-0.7620248379853686,[  0 276],[ 47 291],[ 94 274],[140 255],[189 257],[235 239]
664,0.0068381326786012536,-1.1932259112460455,1.0,1.0,-0.640981089614811,[  0 276],[ 47 291],[ 94 274],[140 255],[189 263],[235 245]
665,0.006216484253273867,-1.2329240997015363,1.0,1.0,-0.690679988023972,[  0 276],[ 47 291],[ 96 286],[139 261],[188 262],[234 243]
666,0.00565134932115806,-1.2721721322575852,1.0,1.0,-0.6983110906331205,[  0 276],[ 49 279],[ 97 268],[146 266],[195 261],[241 242]
667,0.005137590291961873,-1.3101282893584754,1.0,1.0,-0.6402400136599333,[  0 276],[ 47 291],[ 95 280],[141 261],[190 263],[236 245]
668,0.004670536629056248,-1.3447400272009884,1.0,1.0,-0.5122309549867365,[  0 276],[ 47 291],[ 95 280],[141 261],[190 263],[238 251]
669,0.0042459423900511346,-1.3761449552684246,1.0,1.0,-0.5181670182974711,[  0 276],[ 49 285],[ 98 286],[141 262],[190 270],[236 252]
670,0.0038599476273192134,-1.4039520872028228,1.0,1.0,-0.4485573757482456,[  0 276],[ 49 279],[ 97 268],[146 260],[195 267],[243 254]
671,0.0035090432975629212,-1.429212402776135,1.0,1.0,-0.45028950827003844,[  0 276],[ 49 285],[ 96 268],[145 266],[194 267],[242 254]
672,0.0031900393614208373,-1.4530169598527953,1.0,1.0,-0.43804602023311323,[  0 276],[ 47 291],[ 91 269],[140 261],[189 262],[238 255]
673,0.002900035783109852,-1.4752604016664397,1.0,1.0,-0.5772249432556313,[  0 276],[ 49 285],[ 97 274],[145 260],[194 267],[240 248]
674,0.002636396166463502,-1.49721265015592,1.0,1.0,-0.5909483414238712,[  0 276],[ 49 285],[ 97 274],[145 260],[194 255],[243 247]
675,0.0023967237876940926,-1.5190093169670376,1.0,1.0,-0.5934925205042919,[  0 276],[ 49 285],[ 97 274],[145 260],[193 249],[242 247]
676,0.0021788398069946297,-1.5408661958948802,1.0,1.0,-0.5934925205042919,[  0 276],[ 49 285],[ 97 274],[145 260],[193 249],[242 247]
677,0.001980763460904209,-1.5628022105559116,1.0,1.0,-0.5934925205042919,[  0 276],[ 49 285],[ 97 274],[145 260],[193 249],[242 247]
678,0.0018006940553674626,-1.584848772469264,1.0,1.0,-0.7145362688748493,[  0 276],[ 49 285],[ 97 274],[145 260],[193 249],[242 241]
679,0.0016369945957886024,-1.60691172540494,1.0,1.0,-0.7143644152303796,[  0 276],[ 49 285],[ 96 268],[145 260],[193 249],[242 241]
680,0.0014881769052623658,-1.6289872358112134,1.0,1.0,-0.8363210932002847,[  0 276],[ 49 285],[ 96 268],[145 260],[193 249],[241 235]
681,0.0013528880956930598,-1.6510353490254306,1.0,1.0,-0.7667995564323958,[  0 276],[ 49 285],[ 93 262],[142 259],[191 253],[239 239]
682,0.0012298982688118726,-1.6720796171839305,1.0,1.0,-0.7617585960842025,[  0 276],[ 49 285],[ 97 274],[143 255],[192 251],[240 239]
683,0.0011180893352835206,-1.6910990884417636,1.0,1.0,-0.6841761056807749,[  0 276],[ 47 291],[ 91 269],[140 267],[189 268],[232 244]
684,0.001016444850257746,-1.70732794323564,1.0,1.0,-0.5663571811487476,[  0 276],[ 47 291],[ 91 269],[140 261],[189 268],[235 249]
685,0.0009240407729615872,-1.7210638488419,1.0,1.0,-0.7659478446179842,[  0 276],[ 49 285],[ 93 262],[142 259],[191 265],[234 240]
686,0.0008400370663287156,-1.734577415619327,1.0,1.0,-0.8105905265599218,[  0 276],[ 47 291],[ 94 274],[142 260],[191 261],[234 237]
687,0.0007636700602988324,-1.7483935595432627,1.0,1.0,-0.7090391792765549,[  0 276],[ 47 291],[ 94 274],[142 260],[190 249],[239 241]
688,0.0006942455093625749,-1.7618918608234309,1.0,1.0,-0.8256251847378706,[  0 276],[ 47 291],[ 91 269],[139 255],[187 244],[236 236]
689,0.0006311322812387045,-1.7784366014838264,1.0,1.0,-0.9309353653618092,[  0 276],[ 47 291],[ 94 274],[137 249],[186 244],[234 231]
690,0.0005737566193079131,-1.7991059340896087,1.0,1.0,-1.0475213708231248,[  0 276],[ 47 291],[ 91 269],[134 244],[183 239],[231 226]
691,0.0005215969266435574,-1.826063927300432,1.0,1.0,-1.0684583469632933,[  0 276],[ 47 291],[ 91 269],[134 244],[182 233],[231 225]
692,0.0004741790242214158,-1.8590007689288157,1.0,1.0,-1.2809355485839637,[  0 276],[ 47 291],[ 91 269],[140 261],[178 229],[226 216]
693,0.0004310718402012871,-1.9004373003412216,1.0,1.0,-1.2639735856475203,[  0 276],[ 47 291],[ 89 263],[137 249],[184 233],[230 215]
694,0.0003918834910920792,-1.9474716285669345,1.0,1.0,-1.3903325855275892,[  0 276],[ 47 291],[ 89 263],[137 249],[184 233],[228 209]
695,0.00035625771917461744,-2.001130803009906,1.0,1.0,-1.5275487412075925,[  0 276],[ 49 285],[ 93 262],[141 248],[188 232],[229 203]
696,0.0003238706537951068,-2.0626490009676526,1.0,1.0,-1.448903731073255,[  0 276],[ 49 285],[ 93 262],[139 242],[186 225],[232 206]
697,0.00029442786708646073,-2.130239333800635,1.0,1.0,-1.5334299207258173,[  0 276],[ 49 285],[ 90 257],[139 249],[184 227],[228 203]
698,0.0002676616973513279,-2.2045024191063676,1.0,1.0,-1.4909663410826592,[  0 276],[ 49 279],[ 93 256],[142 253],[183 225],[229 205]
699,0.00024332881577393447,-2.2826019976416854,1.0,1.0,-1.4909663410826592,[  0 276],[ 49 279],[ 93 256],[142 253],[183 225],[229 205]
700,0.00022120801433994042,-2.3641916407535963,1.0,1.0,-1.4909663410826592,[  0 276],[ 49 279],[ 93 256],[142 253],[183 225],[229 205]
701,0.0002010981948544913,-2.4472910242355477,1.0,1.0,-1.518865975273229,[  0 276],[ 49 279],[ 97 268],[143 249],[185 222],[231 203]
702,0.00018281654077681027,-2.53309136947606,1.0,1.0,-1.474119393370581,[  0 276],[ 49 279],[ 97 268],[143 249],[188 228],[232 205]
703,0.0001661968552516457,-2.6208056942031583,1.0,1.0,-1.474119393370581,[  0 276],[ 49 279],[ 97 268],[143 249],[188 228],[232 205]
704,0.0001510880502287688,-2.7113179433326544,1.0,1.0,-1.5395155349297498,[  0 276],[ 49 279],[ 97 268],[145 254],[183 222],[229 203]
705,0.00013735277293524435,-2.8068721473655733,1.0,1.0,-1.532744969369568,[  0 276],[ 49 279],[ 96 262],[144 248],[186 221],[232 202]
706,0.0001248661572138585,-2.9041959300057485,1.0,1.0,-1.532744969369568,[  0 276],[ 49 279],[ 96 262],[144 248],[186 221],[232 202]
707,0.000113514688376235,-3.0025196566260393,1.0,1.0,-1.61146700843337,[  0 276],[ 49 279],[ 93 256],[142 247],[183 219],[229 199]
708,0.00010319517125112273,-3.1042106966784417,1.0,1.0,-1.6406507995986643,[  0 276],[ 49 279],[ 96 262],[142 243],[184 216],[230 197]
709,9.38137920464752e-05,-3.2077710823832732,1.0,1.0,-1.6638266311061658,[  0 276],[ 49 274],[ 97 264],[141 240],[186 219],[230 196]
710,8.528526549679564e-05,-3.3119108593750886,1.0,1.0,-1.672831011739375,[  0 276],[ 49 274],[ 97 264],[141 240],[183 214],[229 196]
711,7.75320595425415e-05,-3.4151103335619606,1.0,1.0,-1.672831011739375,[  0 276],[ 49 274],[ 97 264],[141 240],[183 214],[229 196]
712,7.048369049321955e-05,-3.5171694827969726,1.0,1.0,-1.5307124191122183,[  0 276],[ 49 274],[ 96 258],[142 240],[185 214],[233 202]
713,6.407608226656323e-05,-3.6133565757905504,1.0,1.0,-1.4604199728303078,[  0 276],[ 49 268],[ 97 257],[143 238],[188 217],[236 205]
714,5.825098387869385e-05,-3.7034782019735686,1.0,1.0,-1.4272591848721845,[  0 276],[ 49 279],[ 93 256],[139 236],[184 214],[233 207]
715,5.295543988972168e-05,-3.7859104975855566,1.0,1.0,-1.543003064145739,[  0 276],[ 49 274],[ 96 258],[137 229],[182 208],[231 202]
716,4.814130899065607e-05,-3.861059688909248,1.0,1.0,-1.5388409635138318,[  0 276],[ 49 274],[ 96 258],[137 229],[179 203],[228 203]
717,4.376482635514188e-05,-3.9306035523731566,1.0,1.0,-1.7438498536835534,[  0 276],[ 49 268],[ 97 257],[137 227],[179 200],[228 193]
